timestamp,n,p,k,ph,umidade,acao_bomba
2025-10-08 14:58:18,0,0,0,6.5,58.0,DESLIGAR
timestamp,n,p,k,ph,umidade,acao_bomba
2025-10-08 14:58:20,0,0,0,6.4,45.1,DESLIGAR
timestamp,n,p,k,ph,umidade,acao_bomba
2025-10-08 14:58:22,0,0,0,6.1,34.9,LIGAR
timestamp,n,p,k,ph,umidade,acao_bomba
2025-10-08 14:58:24,0,0,0,6.0,34.8,LIGAR
timestamp,n,p,k,ph,umidade,acao_bomba
2025-10-08 14:58:26,0,0,0,7.8,34.5,DESLIGAR
timestamp,n,p,k,ph,umidade,acao_bomba
2025-10-08 14:58:28,0,0,0,6.8,60.2,DESLIGAR
timestamp,n,p,k,ph,umidade,acao_bomba
2025-10-08 14:58:30,0,0,0,6.5,58.0,DESLIGAR
timestamp,n,p,k,ph,umidade,acao_bomba
2025-10-08 14:58:32,0,0,0,6.4,45.1,DESLIGAR
timestamp,n,p,k,ph,umidade,acao_bomba
2025-10-08 14:58:34,0,0,0,6.1,34.9,LIGAR
timestamp,n,p,k,ph,umidade,acao_bomba
2025-10-08 14:58:36,0,0,0,6.0,34.8,LIGAR
timestamp,n,p,k,ph,umidade,acao_bomba
2025-10-08 14:58:38,0,0,0,7.8,34.5,DESLIGAR
timestamp,n,p,k,ph,umidade,acao_bomba
2025-10-08 14:58:40,0,0,0,6.8,60.2,DESLIGAR
timestamp,n,p,k,ph,umidade,acao_bomba
2025-10-08 14:58:42,0,0,0,6.5,58.0,DESLIGAR
