session_id,timestamp,status_ativacao,tipo_interacao,tempo_permanencia_seg,toques_por_minuto,velocidade_toques
85457a15-ef61-401c-aedc-a460b0f9dbbc,2025-10-01 08:45:37,1,longa,179,97,alta
f15dc819-f033-45dc-96c7-6ea2421ba972,2025-10-01 10:32:31,1,longa,299,57,baixa
6a22be52-9678-4af9-b5f6-254c0e7a9950,2025-10-01 11:38:27,1,longa,284,87,alta
c0236971-8af6-40ba-a11a-20f0a3a11963,2025-10-01 17:38:11,1,média,101,103,baixa
1ccbf6ea-068a-4e80-af2b-f25f50d45ea6,2025-10-01 17:39:06,1,média,65,113,baixa
4b5aeec3-9533-42c3-924f-1a89ae1cf896,2025-10-01 17:56:21,1,curta,46,96,baixa
ddf1f58a-8c26-4e05-8790-a4773e8016fb,2025-10-02 01:22:46,1,curta,30,93,alta
113d3aee-8647-42dd-8e41-9732e01deaec,2025-10-02 03:31:33,1,curta,43,16,alta
a39419f3-3d8b-4228-9ce2-dabb4938f91c,2025-10-02 03:44:25,1,longa,169,44,baixa
50eef3c2-dac4-4911-af77-adc7c4873805,2025-10-02 07:54:04,1,longa,298,103,alta
de5b9d6c-d0e4-4d06-8f74-ba092c8b257a,2025-10-02 08:53:03,1,média,107,33,baixa
ed14ea6a-c125-4d96-9b9b-4ece784a817a,2025-10-02 11:56:29,1,curta,12,61,alta
3474f56f-dcb4-42f5-97d5-8f33c4a4996d,2025-10-02 14:59:00,1,longa,274,109,alta
df94e0e9-c9a0-4767-9081-3b9b84ec409c,2025-10-02 17:16:43,1,curta,44,11,baixa
da3790e2-f21c-4ff6-990d-7db98b6c75ef,2025-10-02 19:43:10,1,curta,58,15,alta
703c2fbf-2d7b-4fd6-92e9-c5f09d0d08bb,2025-10-02 20:27:09,1,curta,18,32,alta
72ed1e01-3955-42b3-9e61-9cc630f9a30a,2025-10-03 00:26:54,1,longa,125,104,alta
34ccf87e-d43b-4c2f-8eb2-b8e2e54d6c44,2025-10-03 11:01:57,1,longa,269,53,baixa
97a8f64a-e3b2-4176-91e0-7e3a2ceb1c3d,2025-10-03 17:09:30,1,longa,267,1,baixa
168e1598-0e55-4919-9f72-f9254b7fa5b7,2025-10-03 18:22:10,1,longa,235,110,baixa
e1f5647a-29d1-4bd5-a62f-9048447ae952,2025-10-03 18:57:32,1,longa,124,57,alta
1bbf6b06-3e9b-459d-90ac-606a47b03bd8,2025-10-03 20:47:09,1,curta,33,27,alta
d0e70301-d006-4791-88ce-53a71036bfa0,2025-10-03 21:54:46,1,média,97,64,alta
bdc0b369-7d4c-4d41-a2ad-5450f7f22ba2,2025-10-04 00:30:30,1,curta,57,1,baixa
9c0306e0-2bec-4f52-bbe6-80dcc2c866bb,2025-10-04 01:03:20,1,curta,13,54,baixa
d52549dd-f306-487e-908e-97fd4fed42ef,2025-10-04 03:00:16,1,longa,193,20,baixa
5c7b8368-bdb4-43ed-b951-8ba67cbb7f15,2025-10-04 06:06:56,1,média,93,34,alta
f564cb47-f9ae-461a-a94d-2e3086003214,2025-10-04 10:47:43,1,longa,172,53,baixa
ecf76e90-3c96-475f-9831-a3ef890e52c3,2025-10-04 11:56:36,1,média,68,79,alta
e3c2aad3-e806-4b2e-a24a-47f978d34623,2025-10-04 13:21:54,1,longa,249,3,alta
4190254f-f3ad-48ad-9ce5-60f1e8bc9efc,2025-10-04 17:15:20,1,média,88,63,baixa
f593d57e-33b2-40c7-aa0f-c72f9387b49d,2025-10-04 22:50:39,1,curta,54,118,baixa
f7b19db2-2709-4905-861b-6946e24ac65f,2025-10-04 23:15:38,1,média,102,14,baixa
9af34e93-24b2-406a-9357-eea9d09e2204,2025-10-05 01:25:07,1,curta,28,36,baixa
1d036b88-3b2b-471e-80a0-6efd650885e2,2025-10-05 02:35:13,1,média,114,101,baixa
d1fbacfa-27d8-45ea-a3db-e747cd44d975,2025-10-05 04:45:35,1,média,99,19,alta
c131b715-2d96-428c-a52a-d5b8bfe0a743,2025-10-05 06:23:11,1,curta,19,15,alta
7899982e-a862-4b9f-b931-d7a75151d7be,2025-10-05 09:43:35,1,longa,208,38,alta
433504f7-2823-4522-ac74-349bfbf72def,2025-10-05 14:29:47,1,curta,49,36,baixa
eb5d25dd-2ce8-4de8-b85a-f0af8f0815b3,2025-10-05 15:57:13,1,curta,58,50,alta
ced87a20-303b-474a-ba48-32d1f23b1f31,2025-10-05 16:57:41,1,média,98,82,baixa
6cc947bf-3e5b-4a2e-b6c9-ee03c43f2705,2025-10-05 17:59:04,1,longa,195,74,alta
1d58dc65-4740-40a4-b7b2-38068ab59bc2,2025-10-05 22:49:16,1,média,68,23,alta
dd8efc6d-3546-40bd-abc2-3be810e15224,2025-10-06 01:51:06,1,média,66,82,baixa
0abeb643-65b3-418d-b5a6-bf160bfa0caf,2025-10-06 03:48:55,1,longa,282,9,baixa
98faf255-8945-4684-a521-b44b30c4cf47,2025-10-06 06:43:44,1,longa,170,49,baixa
8aad0bc9-eb25-40e3-9037-4f18191b7edb,2025-10-06 07:08:12,1,longa,136,45,alta
0a332b6e-2c21-473d-be13-8f8961deb5ec,2025-10-06 07:12:43,1,longa,146,28,alta
c012f72b-a95b-4e6e-a900-967112ad3f51,2025-10-06 11:01:30,1,média,107,28,alta
1c9f02a3-4697-434e-961d-43316a1d5217,2025-10-06 11:08:12,1,curta,42,93,baixa
98802561-d96c-4f79-ba51-450455b839f5,2025-10-06 12:16:08,1,média,106,2,alta
67ead895-efb4-42a8-a1ac-e058f0f772a1,2025-10-06 13:38:59,1,curta,35,117,baixa
16dcdeca-b3ea-4e3f-8753-a3ffc4765410,2025-10-06 15:56:58,1,longa,177,30,baixa
f3674c3d-0c56-43ae-8b29-90a31bac15ba,2025-10-06 17:31:01,1,longa,284,22,alta
cd2979a1-658c-437b-ab5d-3e7b0fc48215,2025-10-06 18:14:03,1,longa,166,104,alta
